2026-01-09-13:02:28.259 10.0
2026-01-09-13:02:28.672 10.0
2026-01-09-13:02:29.017 10.0
2026-01-09-13:02:29.426 10.0
2026-01-09-13:02:29.802 10.0
2026-01-09-13:02:30.171 10.0
2026-01-09-13:02:30.595 10.0
2026-01-09-13:02:31.013 10.0
2026-01-09-13:02:31.443 10.0
2026-01-09-13:02:31.855 10.0
2026-01-09-13:02:32.234 10.0
2026-01-09-13:02:33.076 10.0
2026-01-09-13:02:34.878 10.0
2026-01-09-13:02:40.175 10.0
2026-01-09-13:02:46.536 10.0
2026-01-09-13:02:52.625 10.0
2026-01-09-13:02:58.755 10.0
2026-01-09-13:03:04.205 10.0
2026-01-09-13:03:13.703 10.0
2026-01-09-13:03:22.726 10.0
2026-01-09-13:03:31.199 10.0
2026-01-09-13:03:41.861 10.0
2026-01-09-13:03:49.959 10.0
2026-01-09-13:04:00.381 10.0
2026-01-09-13:04:09.834 10.0
2026-01-09-13:04:19.111 10.0
2026-01-09-13:04:26.591 10.0
2026-01-09-13:04:35.979 10.0
2026-01-09-13:04:52.035 10.0
2026-01-09-13:05:05.634 10.0
2026-01-09-13:05:15.016 10.0
2026-01-09-13:05:25.080 10.0
2026-01-09-13:05:34.631 10.0
2026-01-09-13:05:43.637 10.0
2026-01-09-13:05:55.536 10.0
2026-01-09-13:06:06.920 10.0
2026-01-09-13:06:19.096 10.0
2026-01-09-13:06:29.872 10.0
2026-01-09-13:06:38.343 10.0
2026-01-09-13:06:50.101 10.0
2026-01-09-13:07:03.027 10.0
2026-01-09-13:07:14.426 10.0
2026-01-09-13:07:25.003 10.0
2026-01-09-13:07:35.418 10.0
2026-01-09-13:07:45.744 10.0
2026-01-09-13:07:55.006 10.0
2026-01-09-13:08:03.257 10.0
2026-01-09-13:08:17.264 10.0
2026-01-09-13:08:33.822 10.0
2026-01-09-13:08:50.913 10.0
2026-01-09-13:09:06.253 10.0
2026-01-09-13:09:22.225 10.0
2026-01-09-13:13:19.553 10.0
2026-01-09-13:13:37.470 10.0
2026-01-09-13:13:57.443 10.0
2026-01-09-13:14:13.674 10.0
2026-01-09-13:14:33.648 10.0
2026-01-09-13:14:49.561 10.0
2026-01-09-13:15:07.921 10.0
2026-01-09-13:15:25.125 10.0
2026-01-09-13:15:39.869 10.0
2026-01-09-13:15:53.662 10.0
2026-01-09-13:16:06.187 10.0
2026-01-09-13:16:19.081 10.0
2026-01-09-13:16:31.414 10.0
2026-01-09-13:16:41.378 10.0
2026-01-09-13:16:56.003 10.0
2026-01-09-13:17:12.994 10.0
2026-01-09-13:17:32.518 10.0
2026-01-09-13:17:53.816 10.0
2026-01-09-13:18:13.953 10.0
2026-01-09-13:18:32.024 10.0
2026-01-09-13:18:50.584 10.0
2026-01-09-13:19:11.443 10.0
2026-01-09-13:23:30.793 10.0
2026-01-09-13:23:49.325 10.0
2026-01-09-13:24:09.285 10.0
2026-01-09-13:24:29.910 10.0
2026-01-09-13:24:49.317 10.0
2026-01-09-13:25:09.453 10.0
2026-01-09-13:25:27.240 10.0
2026-01-09-13:25:45.981 10.0
2026-01-09-13:26:05.472 10.0
2026-01-09-13:26:23.896 10.0
2026-01-09-13:26:38.697 10.0
2026-01-09-13:26:49.118 10.0
2026-01-09-13:26:55.386 10.0
2026-01-09-13:32:46.527 10.0
2026-01-09-13:33:12.767 10.0
2026-01-09-13:33:42.762 10.0
2026-01-09-13:34:09.581 10.0
2026-01-09-13:34:31.467 10.0
2026-01-09-13:34:58.896 10.0
2026-01-09-13:35:24.082 10.0
2026-01-09-13:35:50.830 10.0
2026-01-09-13:36:17.251 10.0
2026-01-09-13:36:42.860 10.0
2026-01-09-13:37:13.192 10.0
2026-01-09-13:37:40.708 10.0
2026-01-09-13:38:09.148 10.0
2026-01-09-13:38:34.681 10.0
2026-01-09-13:39:00.643 10.0
2026-01-09-13:39:22.175 10.0
2026-01-09-13:39:43.821 10.0
2026-01-09-13:40:09.995 10.0
2026-01-09-13:40:42.797 10.0
2026-01-09-13:41:10.294 10.0
2026-01-09-13:41:37.355 10.0
2026-01-09-13:42:04.507 10.0
2026-01-09-13:42:33.398 10.0
2026-01-09-13:43:04.444 10.0
2026-01-09-13:43:31.423 10.0
2026-01-09-13:43:55.446 10.0
2026-01-09-13:44:27.810 10.0
2026-01-09-13:45:00.148 10.0
2026-01-09-13:45:30.632 10.0
2026-01-09-13:45:58.856 10.0
2026-01-09-13:46:30.010 10.0
2026-01-09-13:47:01.070 10.0
2026-01-09-13:47:33.112 10.0
2026-01-09-13:48:05.222 10.0
2026-01-09-13:48:35.729 10.0
2026-01-09-13:49:07.465 10.0
2026-01-09-13:49:39.867 10.0
