2026-01-09-13:03:13.703 0.0
2026-01-09-13:03:22.726 0.0
2026-01-09-13:03:31.199 0.0
2026-01-09-13:03:41.861 0.0
2026-01-09-13:03:49.959 0.0
2026-01-09-13:04:00.381 0.0
2026-01-09-13:04:09.834 0.0
2026-01-09-13:04:19.111 0.0
2026-01-09-13:04:26.591 0.0
2026-01-09-13:04:35.979 0.0
2026-01-09-13:04:52.035 0.0
2026-01-09-13:05:05.634 1.2
2026-01-09-13:05:15.016 1.8
2026-01-09-13:05:25.080 2.1
2026-01-09-13:05:34.631 1.1
2026-01-09-13:05:43.637 0.5
2026-01-09-13:05:55.536 0.3
2026-01-09-13:06:06.920 0.1
2026-01-09-13:06:19.096 0.1
2026-01-09-13:06:29.872 0.0
2026-01-09-13:06:38.343 0.8
2026-01-09-13:06:50.101 1.1
2026-01-09-13:07:03.027 1.3
2026-01-09-13:07:14.426 1.6
2026-01-09-13:07:25.003 1.7
2026-01-09-13:07:35.418 1.7
2026-01-09-13:07:45.744 1.9
2026-01-09-13:07:55.006 2.0
2026-01-09-13:08:17.264 2.1
2026-01-09-13:08:33.822 2.2
2026-01-09-13:08:50.913 2.3
2026-01-09-13:09:06.253 2.4
2026-01-09-13:09:22.225 2.7
2026-01-09-13:10:08.256 0.0
2026-01-09-13:10:08.451 0.0
2026-01-09-13:10:08.651 0.0
2026-01-09-13:10:08.872 0.0
2026-01-09-13:10:08.996 0.0
2026-01-09-13:10:09.204 1.2
2026-01-09-13:10:09.412 1.8
2026-01-09-13:10:09.623 2.1
2026-01-09-13:10:09.818 1.1
2026-01-09-13:10:10.019 0.5
2026-01-09-13:10:10.227 0.3
2026-01-09-13:10:10.426 0.4
2026-01-09-13:10:10.640 0.5
2026-01-09-13:10:10.898 0.6
2026-01-09-13:10:11.073 1.2
2026-01-09-13:10:11.281 1.5
2026-01-09-13:10:11.529 1.6
2026-01-09-13:10:11.796 1.4
2026-01-09-13:10:12.038 1.3
2026-01-09-13:10:12.282 1.3
2026-01-09-13:10:12.452 0.6
2026-01-09-13:10:12.652 0.3
2026-01-09-13:10:12.792 0.2
2026-01-09-13:10:13.031 0.1
2026-01-09-13:10:13.337 0.0
2026-01-09-13:10:13.636 0.0
2026-01-09-13:10:13.914 0.2
2026-01-09-13:10:14.215 0.2
2026-01-09-13:10:14.497 0.3
2026-01-09-13:10:14.791 0.1
2026-01-09-13:10:15.078 0.1
2026-01-09-13:10:15.328 0.0
2026-01-09-13:10:15.618 1.2
2026-01-09-13:10:15.929 1.8
2026-01-09-13:10:16.272 2.1
2026-01-09-13:10:16.740 2.1
2026-01-09-13:10:17.766 2.1
2026-01-09-13:10:19.200 2.1
2026-01-09-13:10:20.880 1.1
2026-01-09-13:10:22.416 0.5
2026-01-09-13:10:26.744 0.3
2026-01-09-13:10:30.955 0.4
2026-01-09-13:10:45.157 0.5
2026-01-09-13:11:05.103 0.6
2026-01-09-13:11:25.731 0.3
2026-01-09-13:11:42.333 0.1
2026-01-09-13:12:02.868 0.1
2026-01-09-13:12:22.460 0.2
2026-01-09-13:12:42.108 0.2
2026-01-09-13:12:59.000 0.3
2026-01-09-13:13:19.553 0.7
2026-01-09-13:13:37.470 1.0
2026-01-09-13:13:57.443 1.1
2026-01-09-13:14:13.673 0.5
2026-01-09-13:14:33.648 0.3
2026-01-09-13:14:49.561 0.1
2026-01-09-13:15:07.921 0.1
2026-01-09-13:15:25.124 0.0
2026-01-09-13:15:39.869 0.0
2026-01-09-13:15:53.662 0.0
2026-01-09-13:16:06.187 0.0
2026-01-09-13:16:19.081 0.0
2026-01-09-13:16:31.414 1.2
2026-01-09-13:16:41.378 1.8
2026-01-09-13:16:56.003 2.1
2026-01-09-13:17:12.992 1.1
2026-01-09-13:17:32.518 0.5
2026-01-09-13:17:53.814 0.3
2026-01-09-13:18:13.953 1.5
2026-01-09-13:18:32.024 2.1
2026-01-09-13:18:50.584 2.4
2026-01-09-13:19:11.443 1.2
2026-01-09-13:20:53.219 0.0
2026-01-09-13:20:53.924 0.0
2026-01-09-13:20:54.403 0.0
2026-01-09-13:20:54.848 0.0
2026-01-09-13:20:55.390 0.0
2026-01-09-13:20:55.942 0.0
2026-01-09-13:20:56.419 0.0
2026-01-09-13:20:56.975 0.0
2026-01-09-13:20:57.574 0.0
2026-01-09-13:20:58.105 0.0
2026-01-09-13:20:58.743 0.0
2026-01-09-13:20:59.238 0.0
2026-01-09-13:20:59.604 0.0
2026-01-09-13:21:00.095 0.0
2026-01-09-13:21:00.626 0.0
2026-01-09-13:21:01.074 0.0
2026-01-09-13:21:01.461 0.0
2026-01-09-13:21:02.044 0.0
2026-01-09-13:21:03.570 0.0
2026-01-09-13:21:05.171 0.0
2026-01-09-13:21:06.853 0.0
2026-01-09-13:21:08.634 0.0
2026-01-09-13:21:11.692 0.0
2026-01-09-13:21:14.960 0.0
2026-01-09-13:21:17.302 0.0
2026-01-09-13:21:20.116 0.0
2026-01-09-13:21:23.711 0.0
2026-01-09-13:21:27.039 0.0
2026-01-09-13:21:32.793 0.0
2026-01-09-13:21:37.526 0.0
2026-01-09-13:21:41.463 0.0
2026-01-09-13:21:45.852 0.0
2026-01-09-13:21:50.279 0.0
2026-01-09-13:21:54.879 0.0
2026-01-09-13:21:58.699 0.0
2026-01-09-13:22:02.848 0.0
2026-01-09-13:22:07.932 0.0
2026-01-09-13:22:19.865 0.0
2026-01-09-13:22:31.298 0.0
2026-01-09-13:22:51.509 0.0
2026-01-09-13:23:10.083 0.0
2026-01-09-13:23:30.793 0.0
2026-01-09-13:23:49.325 0.0
2026-01-09-13:24:09.283 0.0
2026-01-09-13:24:29.910 0.0
2026-01-09-13:24:49.317 0.0
2026-01-09-13:25:09.452 0.0
2026-01-09-13:25:27.240 0.0
2026-01-09-13:25:45.981 0.0
2026-01-09-13:26:05.472 0.0
2026-01-09-13:26:23.896 0.2
2026-01-09-13:26:38.697 0.2
2026-01-09-13:26:49.118 0.3
2026-01-09-13:26:55.384 0.1
2026-01-09-13:30:37.953 0.0
2026-01-09-13:30:38.147 0.0
2026-01-09-13:30:38.398 0.0
2026-01-09-13:30:38.563 0.0
2026-01-09-13:30:38.741 0.0
2026-01-09-13:30:38.941 0.0
2026-01-09-13:30:39.147 0.0
2026-01-09-13:30:39.355 0.0
2026-01-09-13:30:39.529 0.0
2026-01-09-13:30:39.753 0.0
2026-01-09-13:30:39.929 0.0
2026-01-09-13:30:40.118 0.0
2026-01-09-13:30:40.391 0.0
2026-01-09-13:30:40.641 0.0
2026-01-09-13:30:40.784 0.0
2026-01-09-13:30:40.978 0.0
2026-01-09-13:30:41.178 0.0
2026-01-09-13:30:41.368 0.0
2026-01-09-13:30:41.599 0.0
2026-01-09-13:30:41.833 0.0
2026-01-09-13:30:42.034 0.0
2026-01-09-13:30:42.234 0.0
2026-01-09-13:30:42.466 0.0
2026-01-09-13:30:42.723 1.1
2026-01-09-13:30:42.912 1.6
2026-01-09-13:30:43.077 1.8
2026-01-09-13:30:43.283 0.9
2026-01-09-13:30:43.457 0.5
2026-01-09-13:30:43.688 0.2
2026-01-09-13:30:43.886 0.1
2026-01-09-13:30:44.065 0.1
2026-01-09-13:30:44.271 0.0
2026-01-09-13:30:44.477 0.2
2026-01-09-13:30:44.663 0.2
2026-01-09-13:30:44.931 0.3
2026-01-09-13:30:45.143 0.1
2026-01-09-13:30:45.338 0.1
2026-01-09-13:30:45.542 0.0
2026-01-09-13:30:45.803 0.0
2026-01-09-13:30:45.976 0.0
2026-01-09-13:30:46.147 0.0
2026-01-09-13:30:46.328 0.0
2026-01-09-13:30:46.559 0.0
2026-01-09-13:30:46.843 0.0
2026-01-09-13:30:46.978 0.2
2026-01-09-13:30:47.332 0.2
2026-01-09-13:30:47.763 0.3
2026-01-09-13:30:48.183 0.1
2026-01-09-13:30:48.641 0.1
2026-01-09-13:30:49.024 0.0
2026-01-09-13:30:49.391 0.0
2026-01-09-13:30:49.750 0.0
2026-01-09-13:30:50.637 0.0
2026-01-09-13:30:51.503 0.0
2026-01-09-13:30:52.596 0.0
2026-01-09-13:30:54.231 0.0
2026-01-09-13:30:56.057 0.2
2026-01-09-13:31:00.175 0.2
2026-01-09-13:31:04.194 0.3
2026-01-09-13:31:12.700 0.1
2026-01-09-13:31:25.444 0.1
2026-01-09-13:31:47.962 0.0
2026-01-09-13:32:19.095 0.0
2026-01-09-13:32:46.527 0.0
2026-01-09-13:33:12.767 0.0
2026-01-09-13:33:42.762 0.0
2026-01-09-13:34:09.581 0.0
2026-01-09-13:34:31.465 0.0
2026-01-09-13:34:58.896 0.5
2026-01-09-13:35:24.080 0.7
2026-01-09-13:35:50.830 0.8
2026-01-09-13:36:17.251 0.4
2026-01-09-13:36:42.860 0.2
2026-01-09-13:37:13.192 0.1
2026-01-09-13:37:40.708 1.6
2026-01-09-13:38:09.148 2.3
2026-01-09-13:38:34.681 2.6
2026-01-09-13:39:00.643 1.3
2026-01-09-13:39:22.175 0.7
2026-01-09-13:39:43.821 0.3
2026-01-09-13:40:09.995 0.2
2026-01-09-13:40:42.797 0.1
2026-01-09-13:41:10.294 0.0
2026-01-09-13:41:37.355 0.0
2026-01-09-13:42:04.507 0.0
2026-01-09-13:42:33.398 0.0
2026-01-09-13:43:04.444 0.9
2026-01-09-13:43:31.423 1.4
2026-01-09-13:43:55.445 1.6
2026-01-09-13:44:27.810 1.5
2026-01-09-13:45:00.148 1.5
2026-01-09-13:45:30.632 1.5
2026-01-09-13:45:58.856 0.8
2026-01-09-13:46:30.010 0.4
